id,timestep,pop_r,pop_s,pop_p,pop_d,pop_rec_r,pop_rec_p,pop_car_p,pop_car_r,num_calves,num_dh,num_heifers,num_lactating,num_dry,num_weaned,pop_er,pop_ep,inf_calves,car_calves,ri_calves,rc_calves,inf_weaned,car_weaned,ri_weaned,rc_weaned,inf_heifers,car_heifers,ri_heifers,rc_heifers,inf_dh,car_dh,ri_dh,rc_dh,inf_lactating,car_lactating,ri_lactating,rc_lactating,inf_dry,car_dry,ri_dry,rc_dry,clinical,subclinical,current_b1,current_b2,current_b3,current_b4,current_spring,current_autumn,optimal_stock,treatment_prob,vacc_rate,fpt_rate,pen_decon,treat_calf,treat_lac,iteration,system,simid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,2,0,307,0,0,0,0,8,9,0,82,0,0,199,55,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,6,0,4,0,0,0,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,3,0,307,0,0,0,0,8,9,0,82,0,0,199,55,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,6,0,4,0,0,0,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,4,4,305,4,8,0,0,8,9,0,82,0,0,199,55,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,4,0,0,0,0,3,6,4,4,8,0,0,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,5,6,285,5,11,0,1,8,9,2,82,0,2,197,55,19,4,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,4,0,0,0,0,4,6,5,4,11,0,2,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,6,8,267,2,10,0,5,8,9,3,82,0,3,196,55,24,14,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,4,0,0,0,0,0,6,5,4,8,2,3,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,7,16,257,5,21,1,5,8,9,11,79,1,11,191,54,22,18,0,0,0,0,0,0,1,1,0,0,0,0,5,2,11,3,0,0,1,1,0,6,3,4,8,13,11,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,8,25,251,9,34,4,7,8,9,13,78,1,13,190,54,16,13,0,0,0,0,0,0,1,1,0,0,0,0,9,2,21,3,0,0,0,1,0,6,3,4,4,30,13,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,9,24,246,14,38,10,10,8,10,18,77,2,19,185,53,16,7,0,0,0,0,0,0,1,1,0,0,0,0,12,2,22,3,2,1,0,1,0,5,1,5,1,37,19,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
1,10,24,243,16,40,17,12,8,10,20,76,2,22,183,53,12,3,0,0,0,0,0,0,1,1,0,0,0,0,14,2,21,3,2,1,1,2,0,5,1,4,1,39,22,0,0,0,63,0,273,0.5,0.5,0.6,0,0.1,0.05,1,1,1
